,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
64,2023-07-21,437.37,438.24,423.19,427.5,427.5,17340028,17303700,-9.87,-2.26,428.23,"July 21, 23",-0.0226
65,2023-07-20,447.0,448.5,432.0,437.42,437.420013,23989711,23989700,-9.58,-2.14,438.04,"July 20, 23",-0.0214
66,2023-07-19,476.86,485.0,470.0,477.59,477.589996,20983431,20996500,0.73,0.15308,472.23,"July 19, 23",0.0015308
67,2023-07-18,451.0,478.15,448.78,474.8,474.799988,13195127,13196900,23.8,5.28,466.23,"July 18, 23",0.0528
68,2023-07-17,445.57,456.68,445.1053,450.05,450.049988,6901141,6891700,4.48,1.01,450.98,"July 17, 23",0.0101
69,2023-07-14,452.785,456.48,439.7,441.91,441.910004,7192532,7184900,-10.875,-2.4,446.79,"July 14, 23",-0.024
70,2023-07-13,447.0,451.67,441.177,450.38,450.380005,6155875,6157500,3.38,0.75615,447.6,"July 13, 23",0.0075615
71,2023-07-12,444.55,445.4085,437.7494,444.05,444.049988,5731657,5731700,-0.5,-0.11247,442.65,"July 12, 23",-0.0011247
72,2023-07-11,438.65,440.8,431.0415,440.21,440.209991,4574559,4574600,1.56,0.35564,436.44,"July 11, 23",0.0035564
73,2023-07-10,438.52,444.41,436.82,441.71,441.709991,4251737,4251700,3.19,0.72745,440.57,"July 10, 23",0.0072745
74,2023-07-07,438.6,442.325,435.8354,438.1,438.100006,4165144,4160100,-0.5,-0.114,439.6,"July 07, 23",-0.00114
75,2023-07-06,440.0,442.7999,430.72,438.84,438.839996,4944892,4938800,-1.16,-0.26364,435.91,"July 06, 23",-0.0026364
76,2023-07-05,444.91,450.97,439.6244,445.9,445.899994,6875414,6869500,0.99,0.22252,445.01,"July 05, 23",0.0022252
77,2023-07-03,439.76,441.545,431.62,441.44,441.440002,3719607,3733200,1.68,0.38203,436.7,"July 03, 23",0.0038203
78,2023-06-30,431.1,444.12,431.1,440.49,440.48999,7330394,7342000,9.39,2.18,440.19,"June 30, 23",0.0218
79,2023-06-29,434.33,437.85,426.15,428.24,428.23999,4926910,4932300,-6.09,-1.4,430.68,"June 29, 23",-0.014
80,2023-06-28,423.1,437.2915,422.89,429.84,429.839996,8811342,8811300,6.74,1.59,431.03,"June 28, 23",0.0159
81,2023-06-27,417.39,420.8789,411.5,417.08,417.079987,4818068,4818100,-0.31,-0.07427107,417.27,"June 27, 23",-0.0007427107
82,2023-06-26,422.435,430.9599,414.9,415.94,415.940002,4640022,4640000,-6.495,-1.54,420.33,"June 26, 23",-0.0154
83,2023-06-23,418.59,425.82,417.73,424.02,424.019989,8298600,8293900,5.43,1.3,422.67,"June 23, 23",0.013
84,2023-06-22,422.93,424.71,418.6801,422.48,422.480011,4872246,4869500,-0.45,-0.1064,421.28,"June 22, 23",-0.001064
85,2023-06-21,432.65,434.55,422.54,424.45,424.450012,5146441,5146400,-8.2,-1.9,426.73,"June 21, 23",-0.019
86,2023-06-20,430.18,440.0,430.0,434.7,434.700012,4752113,4756000,4.52,1.05,434.74,"June 20, 23",0.0105
87,2023-06-16,446.15,447.51,430.9,431.96,431.959991,8753740,8745500,-14.19,-3.18,437.36,"June 16, 23",-0.0318
88,2023-06-15,444.1,448.65,439.5,445.27,445.269989,7099915,7099900,1.17,0.26345,444.33,"June 15, 23",0.0026345
89,2023-06-14,434.99,447.33,433.5,440.86,440.859985,8387679,8413100,5.87,1.35,441.2,"June 14, 23",0.0135
90,2023-06-13,430.01,437.27,428.4,435.73,435.730011,7820535,7820500,5.72,1.33,433.92,"June 13, 23",0.0133
91,2023-06-12,418.83,424.7,416.5669,423.97,423.970001,5967712,5959500,5.14,1.23,420.98,"June 12, 23",0.0123
92,2023-06-09,424.5,425.9,414.76,420.02,420.019989,12372827,12363000,-4.48,-1.06,420.45,"June 09, 23",-0.0106
93,2023-06-08,399.77,409.54,396.34,409.37,409.369995,5991087,5991100,9.6,2.4,405.55,"June 08, 23",0.024
94,2023-06-07,410.43,418.95,399.23,399.77,399.769989,11932392,11932400,-10.66,-2.6,405.97,"June 07, 23",-0.026
95,2023-06-06,405.0,405.12,396.93,399.29,399.290009,4991532,4991500,-5.71,-1.41,399.92,"June 06, 23",-0.0141
96,2023-06-05,400.47,413.86,400.15,403.54,403.540009,7247413,7247400,3.07,0.7666,407.0,"June 05, 23",0.007666
97,2023-06-02,402.89,406.58,395.9,400.47,400.470001,5902381,5897300,-2.42,-0.60066,401.28,"June 02, 23",-0.0060066
98,2023-06-01,397.41,407.52,393.08,403.13,403.130005,7160145,7160100,5.72,1.44,402.59,"June 01, 23",0.0144
99,2023-05-31,391.89,396.26,388.91,395.23,395.230011,6988047,6988000,3.34,0.85228,393.79,"May 31, 23",0.0085228
100,2023-05-30,397.48,405.11,385.79,392.98,392.980011,10864990,10865000,-4.5,-1.13,394.16,"May 30, 23",-0.0113
101,2023-05-26,361.1,383.76,356.0,378.88,378.880005,9360436,9360400,17.78,4.92,375.07,"May 26, 23",0.0492
102,2023-05-25,359.61,367.4499,357.42,359.0,359.0,6263105,6263100,-0.61,-0.16963,361.44,"May 25, 23",-0.0016963
103,2023-05-24,356.93,367.151,356.625,364.85,364.850006,7973316,7973300,7.92,2.22,362.63,"May 24, 23",0.0222
104,2023-05-23,360.24,364.17,354.31,355.99,355.98999,6866078,6866100,-4.25,-1.18,358.43,"May 23, 23",-0.0118
105,2023-05-22,365.36,372.01,362.5,363.01,363.01001,5406420,5406400,-2.35,-0.6432,365.81,"May 22, 23",-0.006432
106,2023-05-19,369.86,369.99,363.81,365.36,365.359985,7822203,7850900,-4.5,-1.22,365.97,"May 19, 23",-0.0122
107,2023-05-18,347.25,375.87,346.37,371.29,371.290009,20925235,20925200,24.04,6.92,367.33,"May 18, 23",0.0692
108,2023-05-17,331.76,341.38,329.615,339.96,339.959991,3958807,3958800,8.2,2.47,338.38,"May 17, 23",0.0247
